"No.","Time","Source","Destination","Protocol","Length","Time since request","Info"
"42","8.610678766","10.112.3.78","10.5.20.222","HTTP","433","","GET / HTTP/1.1 "
"44","8.612195801","10.5.20.222","10.112.3.78","HTTP","1462","0.001517035","HTTP/1.0 200 OK  (text/html)"
"56","8.666413561","10.112.3.78","10.5.20.222","HTTP","406","","GET /css/style.css HTTP/1.1 "
"57","8.666449271","10.112.3.78","10.5.20.222","HTTP","407","","GET /css/mobile.css HTTP/1.1 "
"60","8.666592599","10.112.3.78","10.5.20.222","HTTP","390","","GET /js/mobile.js HTTP/1.1 "
"64","8.667573090","10.5.20.222","10.112.3.78","HTTP","896","0.000980491","HTTP/1.0 200 OK  (application/javascript)"
"70","8.668053953","10.5.20.222","10.112.3.78","HTTP","544","0.001604682","HTTP/1.0 200 OK  (text/css)"
"78","8.669986815","10.5.20.222","10.112.3.78","HTTP","502","0.003573254","HTTP/1.0 200 OK  (text/css)"
"85","8.735694890","10.112.3.78","10.5.20.222","HTTP","393","","GET /images/logo.png HTTP/1.1 "
"89","8.735828895","10.112.3.78","10.5.20.222","HTTP","398","","GET /images/satellite.png HTTP/1.1 "
"98","8.736061869","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image1.jpg HTTP/1.1 "
"99","8.736111297","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image2.jpg HTTP/1.1 "
"103","8.736276519","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image3.jpg HTTP/1.1 "
"108","8.736386417","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image4.jpg HTTP/1.1 "
"154","8.739316297","10.5.20.222","10.112.3.78","HTTP","269","0.003621407","HTTP/1.0 200 OK  (PNG)"
"181","8.740654310","10.5.20.222","10.112.3.78","HTTP","1126","0.004543013","HTTP/1.0 200 OK  (JPEG JFIF image)"
"245","8.744485538","10.5.20.222","10.112.3.78","HTTP","256","0.008423669","HTTP/1.0 200 OK  (JPEG JFIF image)"
"264","8.745479912","10.5.20.222","10.112.3.78","HTTP","1288","0.009203393","HTTP/1.0 200 OK  (JPEG JFIF image)"
"315","8.748482299","10.112.3.78","10.5.20.222","HTTP","485","","GET /fonts/audiowide-regular-webfont.woff HTTP/1.1 "
"357","8.750556544","10.112.3.78","10.5.20.222","HTTP","399","","GET /images/mars-rover.jpg HTTP/1.1 "
"413","8.753677395","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/finding-planet.jpg HTTP/1.1 "
"461","8.756519071","10.5.20.222","10.112.3.78","HTTP","1153","0.008036772","HTTP/1.0 200 OK  (application/font-woff)"
"486","8.757885745","10.112.3.78","10.5.20.222","HTTP","406","","GET /images/new-satellitedish.jpg HTTP/1.1 "
"506","8.758918593","10.5.20.222","10.112.3.78","HTTP","614","0.005241198","HTTP/1.0 200 OK  (JPEG JFIF image)"
"559","8.762371933","10.5.20.222","10.112.3.78","HTTP","1158","0.004486188","HTTP/1.0 200 OK  (JPEG JFIF image)"
"566","8.762879129","10.5.20.222","10.112.3.78","HTTP","1610","0.012322585","HTTP/1.0 200 OK  (JPEG JFIF image)"
"580","8.764068358","10.112.3.78","10.5.20.222","HTTP","409","","GET /images/bg-home.jpg HTTP/1.1 "
"604","8.765201831","10.112.3.78","10.5.20.222","HTTP","417","","GET /images/bg-transparent1.png HTTP/1.1 "
"605","8.765249576","10.112.3.78","10.5.20.222","HTTP","407","","GET /images/icons.png HTTP/1.1 "
"653","8.768487779","10.5.20.222","10.112.3.78","HTTP","1310","0.003285948","HTTP/1.0 200 OK  (PNG)"
"668","8.769182546","10.5.20.222","10.112.3.78","HTTP","926","0.003932970","HTTP/1.0 200 OK  (PNG)"
"1158","8.808114035","10.5.20.222","10.112.3.78","HTTP","210","0.044045677","HTTP/1.0 200 OK  (JPEG JFIF image)"
