"No.","Time","Source","Destination","Protocol","Length","Time since request","Info"
"1256","4.222335189","10.112.3.78","10.5.20.222","HTTP","433","","GET / HTTP/1.1 "
"1258","4.223781751","10.5.20.222","10.112.3.78","HTTP","1499","0.001446562","HTTP/1.1 200 OK  (text/html)"
"1260","4.270443591","10.112.3.78","10.5.20.222","HTTP","406","","GET /css/style.css HTTP/1.1 "
"1267","4.271006217","10.112.3.78","10.5.20.222","HTTP","407","","GET /css/mobile.css HTTP/1.1 "
"1268","4.271048354","10.112.3.78","10.5.20.222","HTTP","390","","GET /js/mobile.js HTTP/1.1 "
"1271","4.272091604","10.5.20.222","10.112.3.78","HTTP","933","0.001043250","HTTP/1.1 200 OK  (application/javascript)"
"1275","4.272533250","10.5.20.222","10.112.3.78","HTTP","581","0.001527033","HTTP/1.1 200 OK  (text/css)"
"1281","4.273049241","10.5.20.222","10.112.3.78","HTTP","538","0.002605650","HTTP/1.1 200 OK  (text/css)"
"1283","4.347703991","10.112.3.78","10.5.20.222","HTTP","393","","GET /images/logo.png HTTP/1.1 "
"1284","4.347877497","10.112.3.78","10.5.20.222","HTTP","398","","GET /images/satellite.png HTTP/1.1 "
"1285","4.348208305","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image1.jpg HTTP/1.1 "
"1313","4.349921586","10.5.20.222","10.112.3.78","HTTP","305","0.002217595","HTTP/1.1 200 OK  (PNG)"
"1317","4.349994886","10.112.3.78","10.5.20.222","HTTP","485","","GET /fonts/audiowide-regular-webfont.woff HTTP/1.1 "
"1318","4.350056987","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image2.jpg HTTP/1.1 "
"1345","4.351478562","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image3.jpg HTTP/1.1 "
"1352","4.351709398","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image4.jpg HTTP/1.1 "
"1375","4.352953594","10.5.20.222","10.112.3.78","HTTP","292","0.004745289","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1396","4.354388153","10.112.3.78","10.5.20.222","HTTP","399","","GET /images/mars-rover.jpg HTTP/1.1 "
"1532","4.363031816","10.5.20.222","10.112.3.78","HTTP","1325","0.011553254","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1556","4.364356649","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/finding-planet.jpg HTTP/1.1 "
"1564","4.364817160","10.112.3.78","10.5.20.222","HTTP","406","","GET /images/new-satellitedish.jpg HTTP/1.1 "
"1601","4.367024432","10.112.3.78","10.5.20.222","HTTP","409","","GET /images/bg-home.jpg HTTP/1.1 "
"1622","4.368564276","10.5.20.222","10.112.3.78","HTTP","650","0.004207627","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1624","4.368662487","10.112.3.78","10.5.20.222","HTTP","417","","GET /images/bg-transparent1.png HTTP/1.1 "
"1636","4.369526494","10.5.20.222","10.112.3.78","HTTP","1194","0.004709334","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1638","4.369639549","10.112.3.78","10.5.20.222","HTTP","407","","GET /images/icons.png HTTP/1.1 "
"1686","4.373222382","10.5.20.222","10.112.3.78","HTTP","1346","0.004559895","HTTP/1.1 200 OK  (PNG)"
"1693","4.373790207","10.5.20.222","10.112.3.78","HTTP","962","0.004150658","HTTP/1.1 200 OK  (PNG)"
"1814","4.383776395","10.5.20.222","10.112.3.78","HTTP","274","0.035898898","HTTP/1.1 200 OK  (PNG)"
"2226","4.421471004","10.5.20.222","10.112.3.78","HTTP","246","0.054446572","HTTP/1.1 200 OK  (JPEG JFIF image)"
"2735","4.558633367","10.5.20.222","10.112.3.78","HTTP","1163","0.208576380","HTTP/1.1 200 OK  (JPEG JFIF image)"
